key_col,predict_PM2.5,predict_PM10,predict_O3
badaling#2018-05-02 01:00:00,47.1695644836,141.746949341,59.6041976776
badaling#2018-05-02 02:00:00,29.6868299866,74.2331386108,70.2814892273
badaling#2018-05-02 03:00:00,50.5943661804,152.453453613,90.9264648437
badaling#2018-05-02 04:00:00,47.509385437,88.8656812439,44.3180305176
badaling#2018-05-02 05:00:00,36.9760956116,62.8110613098,121.190313354
badaling#2018-05-02 06:00:00,46.557853241,107.256911926,98.6587089844
badaling#2018-05-02 07:00:00,46.7581236877,110.357840881,105.380227295
badaling#2018-05-02 08:00:00,46.331062851,108.207777222,102.976300476
badaling#2018-05-02 09:00:00,45.5878040161,106.614957458,90.1601646118
badaling#2018-05-02 10:00:00,44.0296595154,121.328257263,78.0345023804
badaling#2018-05-02 11:00:00,52.3551948853,114.375766907,66.6935529785
badaling#2018-05-02 12:00:00,64.8780810547,113.791780396,62.7335623169
badaling#2018-05-02 13:00:00,55.6617617798,108.125512085,58.8699983215
badaling#2018-05-02 14:00:00,59.757678833,121.371243286,51.2793167114
badaling#2018-05-02 15:00:00,64.0165684509,126.090149536,49.7532077026
badaling#2018-05-02 16:00:00,60.6411094666,111.08068634,34.6124651337
badaling#2018-05-02 17:00:00,59.864269104,113.165823364,32.1299932861
badaling#2018-05-02 18:00:00,57.3961608887,115.754794006,29.0947431946
badaling#2018-05-02 19:00:00,60.6351029968,122.54013092,24.4454653168
badaling#2018-05-02 20:00:00,56.5352740479,129.49553894,19.502156105
badaling#2018-05-02 21:00:00,49.6973158264,122.347906189,24.4801564789
badaling#2018-05-02 22:00:00,51.2768043518,123.988259583,22.7580764771
badaling#2018-05-02 23:00:00,50.8003434753,125.150466614,31.0514981079
badaling#2018-05-03 00:00:00,67.667011261,123.747860718,46.1396316528
badaling#2018-05-03 01:00:00,70.692565155,134.143414307,69.3267982483
badaling#2018-05-03 02:00:00,70.7840080261,129.241113281,74.3500473022
badaling#2018-05-03 03:00:00,68.9444671631,135.094155884,87.1150314331
badaling#2018-05-03 04:00:00,77.0466148376,122.739407349,83.3034072876
badaling#2018-05-03 05:00:00,60.860144043,136.678620911,98.138583374
badaling#2018-05-03 06:00:00,63.668019104,136.858985901,102.661560059
badaling#2018-05-03 07:00:00,67.4580116272,120.154972839,106.342047119
badaling#2018-05-03 08:00:00,70.0002975464,136.939653015,106.629342651
badaling#2018-05-03 09:00:00,68.850617981,146.951777649,100.900740051
badaling#2018-05-03 10:00:00,80.1587432861,139.290795898,91.4046127319
badaling#2018-05-03 11:00:00,69.260080719,142.571307373,67.2635055542
badaling#2018-05-03 12:00:00,70.5634384155,142.786422729,79.8974533081
badaling#2018-05-03 13:00:00,90.1716079712,131.990951538,55.9578285217
badaling#2018-05-03 14:00:00,66.9019317627,123.008499146,51.1181411743
badaling#2018-05-03 15:00:00,65.3272857666,159.027114868,39.1142158508
badaling#2018-05-03 16:00:00,73.2659378052,152.543563843,38.2440986633
badaling#2018-05-03 17:00:00,77.324798584,118.075569153,48.9159622192
badaling#2018-05-03 18:00:00,86.283493042,143.346176147,27.5084629059
badaling#2018-05-03 19:00:00,78.7608184814,131.022293091,38.0708618164
badaling#2018-05-03 20:00:00,71.7714691162,142.035858154,33.1040229797
badaling#2018-05-03 21:00:00,87.088142395,149.145111084,20.1511096954
badaling#2018-05-03 22:00:00,77.1730117798,142.822662354,30.0269126892
badaling#2018-05-03 23:00:00,90.395652771,138.214508057,25.477596283
beibuxinqu#2018-05-02 00:00:00,35.9896500854,92.8736846924,37.0112404633
beibuxinqu#2018-05-02 01:00:00,45.6454402008,112.044920715,46.0248847198
beibuxinqu#2018-05-02 02:00:00,27.9728018646,57.0759647522,64.2532679443
beibuxinqu#2018-05-02 03:00:00,38.7491334381,73.7000265198,79.6420336304
beibuxinqu#2018-05-02 04:00:00,36.2391837616,124.356760773,78.6363497925
beibuxinqu#2018-05-02 05:00:00,25.3486088486,56.0796273499,78.2151859436
beibuxinqu#2018-05-02 06:00:00,50.9458001404,104.423765381,101.965640808
beibuxinqu#2018-05-02 07:00:00,44.8078753204,107.550142761,109.245146729
beibuxinqu#2018-05-02 08:00:00,42.5830262299,108.017232849,103.006726746
beibuxinqu#2018-05-02 09:00:00,38.5226877594,105.394018311,89.730194458
beibuxinqu#2018-05-02 10:00:00,38.5246589355,94.2731214294,82.9562440796
beibuxinqu#2018-05-02 11:00:00,40.4607040863,91.1713632812,73.8783056641
beibuxinqu#2018-05-02 12:00:00,69.4397232056,132.620529175,74.3948699951
beibuxinqu#2018-05-02 13:00:00,68.465770874,123.164073181,62.6896307373
beibuxinqu#2018-05-02 14:00:00,62.0480969238,121.614658508,66.4301168823
beibuxinqu#2018-05-02 15:00:00,60.3432263184,125.058476868,51.7727583313
beibuxinqu#2018-05-02 16:00:00,64.7420349121,121.112611084,41.174317627
beibuxinqu#2018-05-02 17:00:00,60.5054257202,121.325464172,40.9613043213
beibuxinqu#2018-05-02 18:00:00,51.1339454651,116.073877869,34.0064867401
beibuxinqu#2018-05-02 19:00:00,50.0930761719,118.162762756,28.8400733185
beibuxinqu#2018-05-02 20:00:00,57.9942523193,115.178460693,23.4466973114
beibuxinqu#2018-05-02 21:00:00,56.4573188782,118.68601532,28.1225841522
beibuxinqu#2018-05-02 22:00:00,71.6149227905,121.698164673,27.3584165192
beibuxinqu#2018-05-02 23:00:00,58.3855978394,126.787345276,31.0566359711
beibuxinqu#2018-05-03 00:00:00,82.1009941101,153.436398315,49.9285713196
beibuxinqu#2018-05-03 01:00:00,79.0072814941,139.392956543,64.3330162048
beibuxinqu#2018-05-03 02:00:00,78.2223632813,140.687908936,65.7615127563
beibuxinqu#2018-05-03 03:00:00,79.7456695557,136.733421326,73.2824172974
beibuxinqu#2018-05-03 04:00:00,90.9361709595,129.561401367,81.6586364746
beibuxinqu#2018-05-03 05:00:00,79.0361167908,133.230873108,102.482754517
beibuxinqu#2018-05-03 06:00:00,71.5781929016,133.839588928,105.32689209
beibuxinqu#2018-05-03 07:00:00,72.5167549133,110.814787292,118.478993225
beibuxinqu#2018-05-03 08:00:00,52.802394104,112.396481323,114.984448242
beibuxinqu#2018-05-03 09:00:00,59.2742225647,124.862837219,118.37976532
beibuxinqu#2018-05-03 10:00:00,66.9206718445,124.792138672,99.4421585083
beibuxinqu#2018-05-03 11:00:00,56.2807830811,125.507214355,83.648651123
beibuxinqu#2018-05-03 12:00:00,80.1801452637,155.117538452,69.126739502
beibuxinqu#2018-05-03 13:00:00,65.5414657593,155.052215576,55.1704597473
beibuxinqu#2018-05-03 14:00:00,58.8050117493,124.671516418,54.59897995
beibuxinqu#2018-05-03 15:00:00,73.8691558838,164.383407593,60.6864318848
beibuxinqu#2018-05-03 16:00:00,82.291885376,154.939224243,52.3954200745
beibuxinqu#2018-05-03 17:00:00,92.5350341797,120.42150116,52.9546737671
beibuxinqu#2018-05-03 18:00:00,66.5063934326,118.633384705,48.9298934937
beibuxinqu#2018-05-03 19:00:00,74.2284469604,108.540267944,43.1869850159
beibuxinqu#2018-05-03 20:00:00,92.2061233521,106.029136658,48.6871109009
beibuxinqu#2018-05-03 21:00:00,100.566932678,96.3566970825,42.5790748596
beibuxinqu#2018-05-03 22:00:00,104.672042847,109.815254211,36.3649291992
beibuxinqu#2018-05-03 23:00:00,97.4182891846,157.800003052,14.5433244705
daxing#2018-05-02 00:00:00,36.3504889145,99.0366097717,38.5183232269
daxing#2018-05-02 01:00:00,36.4412244949,109.930560486,54.8729523163
daxing#2018-05-02 02:00:00,42.3927995148,82.1003649902,56.120769577
daxing#2018-05-02 03:00:00,31.7140357666,144.775172241,97.2605284424
daxing#2018-05-02 04:00:00,72.6464633636,94.1789429321,48.5051998291
daxing#2018-05-02 05:00:00,30.5978570709,158.345632233,97.183223114
daxing#2018-05-02 06:00:00,55.8726587524,110.131894714,100.640804382
daxing#2018-05-02 07:00:00,46.2580092926,108.507046936,100.187895996
daxing#2018-05-02 08:00:00,40.6211346741,106.927596558,108.410151855
daxing#2018-05-02 09:00:00,44.2877997742,110.812663086,95.6991212158
daxing#2018-05-02 10:00:00,43.3637532196,114.454269226,74.6156992798
daxing#2018-05-02 11:00:00,35.2674375458,110.749177124,60.3542518616
daxing#2018-05-02 12:00:00,66.1058239746,130.086864014,58.6205479431
daxing#2018-05-02 13:00:00,66.369085083,133.781361084,54.3286616516
daxing#2018-05-02 14:00:00,69.2391685486,131.61875061,51.5374980164
daxing#2018-05-02 15:00:00,60.2593656921,115.876099243,43.8897796631
daxing#2018-05-02 16:00:00,58.973757019,105.541288452,42.1144190979
daxing#2018-05-02 17:00:00,54.6058679199,126.046310425,40.8457014465
daxing#2018-05-02 18:00:00,52.5641830444,121.144810791,37.9480067444
daxing#2018-05-02 19:00:00,51.1760766602,132.091278992,33.1364978027
daxing#2018-05-02 20:00:00,54.1510162354,127.389812622,30.8528278351
daxing#2018-05-02 21:00:00,51.4638839722,119.846133728,26.7082832336
daxing#2018-05-02 22:00:00,48.4432991791,132.331533203,19.9532543755
daxing#2018-05-02 23:00:00,51.3683143616,135.175133362,28.424504776
daxing#2018-05-03 00:00:00,94.4371932983,154.362496948,49.8066329956
daxing#2018-05-03 01:00:00,96.7563903809,145.800274658,67.1492347717
daxing#2018-05-03 02:00:00,89.2672805786,148.824038696,84.3311325073
daxing#2018-05-03 03:00:00,85.6151031494,153.235852051,85.474786377
daxing#2018-05-03 04:00:00,85.9023254395,143.298045349,95.0409500122
daxing#2018-05-03 05:00:00,73.3141975403,140.768135071,97.599079895
daxing#2018-05-03 06:00:00,66.5496109009,143.38324585,109.102618408
daxing#2018-05-03 07:00:00,57.377973175,122.984632874,112.212091064
daxing#2018-05-03 08:00:00,55.2575798035,116.670330811,114.9237854
daxing#2018-05-03 09:00:00,63.8785507202,125.985353088,101.443412781
daxing#2018-05-03 10:00:00,53.541027832,121.819186401,78.3541259766
daxing#2018-05-03 11:00:00,68.4330085754,117.91686554,74.8161849976
daxing#2018-05-03 12:00:00,67.0323791504,147.513809204,72.9391021729
daxing#2018-05-03 13:00:00,53.9375267029,132.306869507,55.5974388123
daxing#2018-05-03 14:00:00,62.4117012024,149.077819824,40.1423492432
daxing#2018-05-03 15:00:00,78.3145980835,172.410903931,48.9360160828
daxing#2018-05-03 16:00:00,75.8933868408,155.338088989,56.1320991516
daxing#2018-05-03 17:00:00,93.6579055786,154.350372314,50.9519233704
daxing#2018-05-03 18:00:00,60.6559791565,136.298400879,47.8483848572
daxing#2018-05-03 19:00:00,69.4716186523,148.308868408,54.7059593201
daxing#2018-05-03 20:00:00,87.4151306152,148.139297485,36.0015907288
daxing#2018-05-03 21:00:00,92.3342437744,157.353286743,36.5522232056
daxing#2018-05-03 22:00:00,97.731590271,167.28868103,34.4087982178
daxing#2018-05-03 23:00:00,96.4785308838,170.597091675,41.3163795471
dingling#2018-05-02 00:00:00,29.3284681702,66.4418444824,67.9642404175
dingling#2018-05-02 01:00:00,38.9505732574,92.8692019958,74.9378438416
dingling#2018-05-02 02:00:00,24.9180552216,53.3500791016,72.1100297546
dingling#2018-05-02 03:00:00,33.3728005829,45.3559619751,74.1913897095
dingling#2018-05-02 04:00:00,42.5221216431,122.235307495,97.582217041
dingling#2018-05-02 05:00:00,21.0456870651,123.090026367,92.5272324829
dingling#2018-05-02 06:00:00,41.955868866,75.9742740479,105.301622559
dingling#2018-05-02 07:00:00,38.963817337,85.5083788452,101.632214417
dingling#2018-05-02 08:00:00,39.1106944885,82.8581074219,82.4542442017
dingling#2018-05-02 09:00:00,37.6026487579,69.8043061829,79.3607550049
dingling#2018-05-02 10:00:00,38.1713977966,60.8024649963,82.5776140137
dingling#2018-05-02 11:00:00,39.1216872711,66.6683424988,73.8019977417
dingling#2018-05-02 12:00:00,64.7549421692,87.373352356,83.1367849731
dingling#2018-05-02 13:00:00,60.4101081848,83.4198672485,68.4293243408
dingling#2018-05-02 14:00:00,49.8514883423,89.2122479248,53.9658796692
dingling#2018-05-02 15:00:00,44.0810263062,80.2506710815,47.3939848328
dingling#2018-05-02 16:00:00,48.7926515198,81.9149629211,43.0234082031
dingling#2018-05-02 17:00:00,48.7922198486,79.4259368896,39.402359314
dingling#2018-05-02 18:00:00,43.705195694,75.1892163086,32.1508457947
dingling#2018-05-02 19:00:00,45.4513504791,78.4568424988,33.4916642761
dingling#2018-05-02 20:00:00,45.416892395,79.8018943787,36.8094987488
dingling#2018-05-02 21:00:00,45.7052190399,73.1268490601,33.1096641541
dingling#2018-05-02 22:00:00,51.4864083862,83.9229205322,43.5413322449
dingling#2018-05-02 23:00:00,50.0125081635,88.2940319824,55.9320306396
dingling#2018-05-03 00:00:00,80.521786499,118.577264404,63.0661972046
dingling#2018-05-03 01:00:00,86.7895721436,142.296253967,86.9607025146
dingling#2018-05-03 02:00:00,93.2662628174,142.740177917,91.9434783936
dingling#2018-05-03 03:00:00,92.5058029175,145.807821655,108.54785614
dingling#2018-05-03 04:00:00,86.9639907837,142.923916626,100.823233032
dingling#2018-05-03 05:00:00,85.9014404297,133.98273468,111.673670959
dingling#2018-05-03 06:00:00,87.5700271606,118.841184998,118.118762207
dingling#2018-05-03 07:00:00,86.0157058716,121.52073822,101.989729309
dingling#2018-05-03 08:00:00,79.1290878296,126.433062744,87.3370895386
dingling#2018-05-03 09:00:00,76.2855384827,138.455352783,88.0576950073
dingling#2018-05-03 10:00:00,80.3356697083,116.901998901,81.9797119141
dingling#2018-05-03 11:00:00,73.2847610474,115.379574585,92.9173110962
dingling#2018-05-03 12:00:00,104.787483215,135.431564331,86.3613128662
dingling#2018-05-03 13:00:00,81.4253005981,111.557289124,61.6992874146
dingling#2018-05-03 14:00:00,74.8850631714,98.9345169067,61.3779716492
dingling#2018-05-03 15:00:00,71.3550872803,100.690109253,58.8204879761
dingling#2018-05-03 16:00:00,76.0693740845,92.5458755493,50.9761695862
dingling#2018-05-03 17:00:00,72.2077255249,113.574981689,43.8893127441
dingling#2018-05-03 18:00:00,72.3167037964,90.1808166504,36.940486908
dingling#2018-05-03 19:00:00,58.3228530884,88.8792648315,42.6408309937
dingling#2018-05-03 20:00:00,84.349861145,81.8960266113,45.058631897
dingling#2018-05-03 21:00:00,86.7092971802,94.1383132935,51.8581237793
dingling#2018-05-03 22:00:00,85.3152160645,93.6883544922,52.5067138672
dingling#2018-05-03 23:00:00,76.8464508057,106.224571228,60.7697219849
donggaocun#2018-05-02 00:00:00,25.9553264542,72.0800486603,51.4600378571
donggaocun#2018-05-02 01:00:00,42.4313738174,99.0069858551,55.8089376221
donggaocun#2018-05-02 02:00:00,20.4776933517,65.8164725952,56.1110187988
donggaocun#2018-05-02 03:00:00,36.670712677,94.652025238,66.1177603302
donggaocun#2018-05-02 04:00:00,16.3327492943,93.4776136475,82.9374020081
donggaocun#2018-05-02 05:00:00,32.973128315,63.3672284393,73.0322058105
donggaocun#2018-05-02 06:00:00,34.5247793198,77.9630437317,91.9897953491
donggaocun#2018-05-02 07:00:00,35.3498832703,78.0390400085,92.9387704468
donggaocun#2018-05-02 08:00:00,36.5557879028,69.9703686218,95.3030040894
donggaocun#2018-05-02 09:00:00,35.5121773071,75.5726837463,89.8133640747
donggaocun#2018-05-02 10:00:00,31.0999070892,64.3875821838,92.6557789307
donggaocun#2018-05-02 11:00:00,31.3147067871,66.7534102173,83.0890026855
donggaocun#2018-05-02 12:00:00,52.1116383362,79.8386288452,81.2879907227
donggaocun#2018-05-02 13:00:00,59.9925032043,97.8171923828,74.6133183289
donggaocun#2018-05-02 14:00:00,53.5053749084,93.2317779541,64.0510838318
donggaocun#2018-05-02 15:00:00,50.9113378906,90.1758901978,52.4592500305
donggaocun#2018-05-02 16:00:00,50.9001672363,79.8175314331,46.4941119385
donggaocun#2018-05-02 17:00:00,52.0049372864,90.7531539917,45.5474307251
donggaocun#2018-05-02 18:00:00,49.2860630798,92.2587747192,39.3757913971
donggaocun#2018-05-02 19:00:00,57.8760829163,85.6046563721,37.9804383087
donggaocun#2018-05-02 20:00:00,55.6897741699,77.6656425476,33.4701847076
donggaocun#2018-05-02 21:00:00,47.6280014038,75.1077520752,27.7584099579
donggaocun#2018-05-02 22:00:00,45.5830615997,73.5668508911,31.921969986
donggaocun#2018-05-02 23:00:00,49.4482206726,79.7390257263,39.9081462097
donggaocun#2018-05-03 00:00:00,87.9153656006,133.021957397,61.2530708313
donggaocun#2018-05-03 01:00:00,88.9687911987,136.337367249,64.2489372253
donggaocun#2018-05-03 02:00:00,87.9840118408,142.109336853,80.2796722412
donggaocun#2018-05-03 03:00:00,84.1866233826,139.277813721,93.589982605
donggaocun#2018-05-03 04:00:00,74.4555984497,122.077090454,93.8988327026
donggaocun#2018-05-03 05:00:00,86.0800704956,131.863011169,106.611553955
donggaocun#2018-05-03 06:00:00,87.2301635742,117.535484314,108.781254578
donggaocun#2018-05-03 07:00:00,84.8493621826,107.185980225,111.338171387
donggaocun#2018-05-03 08:00:00,78.2439002991,106.646086121,115.298942566
donggaocun#2018-05-03 09:00:00,67.6750053406,105.39695282,110.643566895
donggaocun#2018-05-03 10:00:00,72.2876678467,97.9482162476,88.6935958862
donggaocun#2018-05-03 11:00:00,68.3362678528,88.3909927368,86.8861495972
donggaocun#2018-05-03 12:00:00,103.981788635,95.5944824219,89.4720458984
donggaocun#2018-05-03 13:00:00,72.2485427856,91.9152603149,67.1395797729
donggaocun#2018-05-03 14:00:00,60.8105812073,103.22052002,73.2766647339
donggaocun#2018-05-03 15:00:00,73.4898376465,109.737640381,67.4604644775
donggaocun#2018-05-03 16:00:00,62.6399688721,98.2298355103,47.7529792786
donggaocun#2018-05-03 17:00:00,63.434589386,87.169052124,40.5501556396
donggaocun#2018-05-03 18:00:00,58.808921814,85.4453659058,47.3224639893
donggaocun#2018-05-03 19:00:00,51.7562294006,63.1111831665,45.7691650391
donggaocun#2018-05-03 20:00:00,44.7760429382,64.2906494141,39.7851104736
donggaocun#2018-05-03 21:00:00,39.280620575,69.8649520874,43.2463569641
donggaocun#2018-05-03 22:00:00,30.9853820801,60.2500076294,41.9183082581
donggaocun#2018-05-03 23:00:00,34.6329421997,71.4624862671,40.5026664734
dongsi#2018-05-02 00:00:00,37.6510757141,88.0879002228,40.2566456604
dongsi#2018-05-02 01:00:00,37.1419380493,119.937304489,48.2337781982
dongsi#2018-05-02 02:00:00,43.0756680298,78.1175081787,54.8738362885
dongsi#2018-05-02 03:00:00,43.9664705048,96.0706005859,97.1316973724
dongsi#2018-05-02 04:00:00,42.791644989,150.990095551,61.1489411926
dongsi#2018-05-02 05:00:00,27.8293008423,82.4358643494,94.1649442444
dongsi#2018-05-02 06:00:00,47.1110742188,95.4074934082,105.791434143
dongsi#2018-05-02 07:00:00,42.3516255798,100.043079895,103.410844299
dongsi#2018-05-02 08:00:00,40.5756416931,96.9947141724,98.897779541
dongsi#2018-05-02 09:00:00,45.3055438843,103.158139221,100.572595276
dongsi#2018-05-02 10:00:00,42.9334445343,101.191977539,92.7894497681
dongsi#2018-05-02 11:00:00,42.9946691589,111.266815857,75.6224118042
dongsi#2018-05-02 12:00:00,67.7527575684,114.084342346,86.0650698853
dongsi#2018-05-02 13:00:00,72.2465187073,109.682046509,80.1854492187
dongsi#2018-05-02 14:00:00,73.0587901306,95.2583569336,72.2563835144
dongsi#2018-05-02 15:00:00,67.4332296753,101.917514038,57.9521638489
dongsi#2018-05-02 16:00:00,63.3380686951,98.3942523193,49.4410923767
dongsi#2018-05-02 17:00:00,56.311162262,107.368816528,41.0671764374
dongsi#2018-05-02 18:00:00,48.0267945862,109.018476562,29.3718052673
dongsi#2018-05-02 19:00:00,48.870914917,105.218043823,26.8199020004
dongsi#2018-05-02 20:00:00,47.0308209229,106.717207642,23.295262413
dongsi#2018-05-02 21:00:00,48.0788276672,109.640305176,21.5232455635
dongsi#2018-05-02 22:00:00,57.1680799866,119.518985901,19.9058076096
dongsi#2018-05-02 23:00:00,59.5296641541,108.97313385,31.3921078491
dongsi#2018-05-03 00:00:00,88.9814453125,135.965081787,42.3316413879
dongsi#2018-05-03 01:00:00,91.917024231,146.647741699,50.8928901672
dongsi#2018-05-03 02:00:00,84.7414894104,144.064776611,66.9019256592
dongsi#2018-05-03 03:00:00,87.1911972046,142.975010681,90.8668777466
dongsi#2018-05-03 04:00:00,91.2764953613,119.338302612,105.272640991
dongsi#2018-05-03 05:00:00,76.5237007141,129.596774292,109.976756287
dongsi#2018-05-03 06:00:00,59.2950248718,122.648005676,119.697528076
dongsi#2018-05-03 07:00:00,66.18175354,110.336326599,124.207388306
dongsi#2018-05-03 08:00:00,57.3534828186,123.704196167,100.415150452
dongsi#2018-05-03 09:00:00,57.8973739624,125.480656433,96.2148895264
dongsi#2018-05-03 10:00:00,62.7968589783,134.321743774,88.6011016846
dongsi#2018-05-03 11:00:00,64.4524635315,128.516738892,68.3618087769
dongsi#2018-05-03 12:00:00,67.433303833,144.31413269,70.6197357178
dongsi#2018-05-03 13:00:00,74.6435165405,141.396347046,48.6157684326
dongsi#2018-05-03 14:00:00,78.6018371582,156.86756897,56.6244812012
dongsi#2018-05-03 15:00:00,67.6277008057,117.491699219,47.665512085
dongsi#2018-05-03 16:00:00,65.7202529907,114.305915833,45.6248817444
dongsi#2018-05-03 17:00:00,78.8754806519,138.531188965,38.3388595581
dongsi#2018-05-03 18:00:00,70.8213424683,112.874107361,35.1925811768
dongsi#2018-05-03 19:00:00,66.7398452759,144.833999634,34.8203125
dongsi#2018-05-03 20:00:00,61.7167549133,125.487678528,21.7203426361
dongsi#2018-05-03 21:00:00,83.7173233032,122.844963074,15.0041818619
dongsi#2018-05-03 22:00:00,97.9666519165,125.772117615,3.42470097542
dongsi#2018-05-03 23:00:00,99.0365219116,134.594314575,21.2403831482
dongsihuan#2018-05-02 00:00:00,33.4535299835,104.189136261,22.9033897324
dongsihuan#2018-05-02 01:00:00,35.5872776871,117.468782257,39.9146599426
dongsihuan#2018-05-02 02:00:00,40.1545266495,81.0784798584,45.7883809509
dongsihuan#2018-05-02 03:00:00,34.5483206787,103.599171082,52.4196439209
dongsihuan#2018-05-02 04:00:00,33.5277788849,137.506839813,53.0581311188
dongsihuan#2018-05-02 05:00:00,31.5320000458,126.166285461,74.0488565979
dongsihuan#2018-05-02 06:00:00,38.0005710297,76.9652425842,72.0616230164
dongsihuan#2018-05-02 07:00:00,40.5604762726,90.8357437134,79.3639212036
dongsihuan#2018-05-02 08:00:00,39.5330669556,87.4329674988,76.3393276978
dongsihuan#2018-05-02 09:00:00,39.5190634155,88.4260593262,67.4224567261
dongsihuan#2018-05-02 10:00:00,43.6600851135,103.758112915,61.6091216431
dongsihuan#2018-05-02 11:00:00,48.707641037,105.960995422,55.7286364746
dongsihuan#2018-05-02 12:00:00,64.794480896,113.672327881,56.4268942261
dongsihuan#2018-05-02 13:00:00,64.4826776123,117.936524963,53.852073822
dongsihuan#2018-05-02 14:00:00,68.975513916,115.216523438,51.2201826477
dongsihuan#2018-05-02 15:00:00,63.5142494202,105.338484497,41.7163748169
dongsihuan#2018-05-02 16:00:00,59.8503379822,97.484960022,38.1353660583
dongsihuan#2018-05-02 17:00:00,55.028495636,110.173526306,41.3837854004
dongsihuan#2018-05-02 18:00:00,52.5726843262,119.838673401,33.9157778931
dongsihuan#2018-05-02 19:00:00,51.7492477417,111.814660339,31.6951757812
dongsihuan#2018-05-02 20:00:00,53.7858300781,121.274119568,26.5673914337
dongsihuan#2018-05-02 21:00:00,63.7242152405,124.431275635,23.5812802124
dongsihuan#2018-05-02 22:00:00,62.5825047302,126.191769409,23.7124999237
dongsihuan#2018-05-02 23:00:00,69.261776123,141.55135498,22.5008035278
dongsihuan#2018-05-03 00:00:00,79.5680747986,151.235806274,37.8084152222
