station_id,utc_time,PM2.5,PM10,NO2
BL0,2018-05-05 17:00:00,16.6,28.4,43.0
BL0,2018-05-05 18:00:00,,34.2,48.0
BL0,2018-05-05 19:00:00,,31.5,59.5
BL0,2018-05-05 20:00:00,,33.0,49.2
BL0,2018-05-05 21:00:00,,35.6,59.1
BL0,2018-05-05 22:00:00,,,
BL0,2018-05-05 23:00:00,,28.4,56.8
BL0,2018-05-06 00:00:00,,,
BL0,2018-05-06 01:00:00,,30.6,36.3
BL0,2018-05-06 02:00:00,,,
BL0,2018-05-06 03:00:00,26.3,35.0,
BL0,2018-05-06 04:00:00,,,
BL0,2018-05-06 05:00:00,,31.7,26.6
BL0,2018-05-06 06:00:00,,33.0,37.5
BL0,2018-05-06 07:00:00,27.4,35.4,
BL0,2018-05-06 08:00:00,23.9,33.1,44.2
BL0,2018-05-06 09:00:00,,37.5,38.6
BL0,2018-05-06 10:00:00,21.3,31.3,
BL0,2018-05-06 11:00:00,,26.2,25.2
BL0,2018-05-06 12:00:00,21.2,30.9,26.2
BL0,2018-05-06 13:00:00,20.3,28.9,22.8
BL0,2018-05-06 14:00:00,,30.8,20.7
BL0,2018-05-06 15:00:00,,28.7,40.5
BL0,2018-05-06 16:00:00,,34.8,36.1
BL0,2018-05-06 17:00:00,,30.2,53.9
BL0,2018-05-06 18:00:00,22.3,34.6,
BL0,2018-05-06 19:00:00,26.8,38.1,69.0
BL0,2018-05-06 20:00:00,32.6,41.6,
BL0,2018-05-06 21:00:00,,46.4,79.6
BL0,2018-05-06 22:00:00,,,
BL0,2018-05-06 23:00:00,,47.2,84.5
BL0,2018-05-07 00:00:00,,,
BL0,2018-05-07 01:00:00,53.2,61.1,71.0
BL0,2018-05-07 02:00:00,,,
BL0,2018-05-07 03:00:00,44.9,55.6,70.8
BL0,2018-05-07 04:00:00,,,
BL0,2018-05-07 05:00:00,,56.1,60.6
BL0,2018-05-07 06:00:00,,58.6,63.9
BL0,2018-05-07 07:00:00,,52.0,44.4
BL0,2018-05-07 08:00:00,,31.6,43.6
BL0,2018-05-07 09:00:00,14.6,26.6,39.6
BL0,2018-05-07 10:00:00,,20.1,34.4
BL0,2018-05-07 11:00:00,,21.8,29.8
BL0,2018-05-07 12:00:00,,19.2,21.4
BL0,2018-05-07 13:00:00,,22.1,17.6
BL0,2018-05-07 14:00:00,,22.7,18.7
BL0,2018-05-07 15:00:00,,28.2,26.0
BL0,2018-05-07 16:00:00,,22.9,32.7
BL0,2018-05-07 17:00:00,,16.3,37.1
BL0,2018-05-07 18:00:00,,24.0,65.2
BL0,2018-05-07 19:00:00,,30.5,75.7
BL0,2018-05-07 20:00:00,,33.0,79.9
BL0,2018-05-07 21:00:00,,36.9,87.0
BL0,2018-05-07 22:00:00,,,
BL0,2018-05-07 23:00:00,,46.6,110.5
BL0,2018-05-08 00:00:00,41.8,50.4,111.5
BL0,2018-05-08 01:00:00,46.9,53.8,100.8
BL0,2018-05-08 02:00:00,47.9,54.4,96.0
BL0,2018-05-08 03:00:00,56.3,62.1,88.4
BL0,2018-05-08 04:00:00,58.4,69.2,86.8
BL0,2018-05-08 05:00:00,65.3,75.4,80.3
BL0,2018-05-08 06:00:00,68.2,80.8,89.9
BL0,2018-05-08 07:00:00,49.3,66.2,116.3
BL0,2018-05-08 08:00:00,33.2,49.9,109.0
BL0,2018-05-08 09:00:00,18.3,34.3,53.6
BL0,2018-05-08 10:00:00,14.3,24.5,35.0
BL0,2018-05-08 11:00:00,14.0,25.3,39.6
BL0,2018-05-08 12:00:00,15.2,29.7,22.8
BL0,2018-05-08 13:00:00,12.7,24.0,13.2
BL0,2018-05-08 14:00:00,14.3,27.0,18.4
BL0,2018-05-08 15:00:00,11.5,27.3,18.2
BL0,2018-05-08 16:00:00,7.9,23.4,42.1
BL0,2018-05-08 17:00:00,7.6,18.3,57.8
BL0,2018-05-08 18:00:00,2.3,11.7,40.0
BL0,2018-05-08 20:00:00,6.2,10.5,58.5
BL0,2018-05-08 21:00:00,5.0,10.4,55.5
BL0,2018-05-08 22:00:00,6.0,10.6,50.5
BL0,2018-05-08 23:00:00,6.1,14.6,45.7
BL0,2018-05-09 00:00:00,5.6,16.2,25.2
BL0,2018-05-09 01:00:00,8.9,17.8,14.5
BL0,2018-05-09 02:00:00,10.4,19.3,15.1
BL0,2018-05-09 03:00:00,10.3,22.0,29.5
BL0,2018-05-09 04:00:00,7.5,18.3,56.4
BL0,2018-05-09 05:00:00,11.5,18.7,44.6
BL0,2018-05-09 06:00:00,12.1,22.7,44.6
BL0,2018-05-09 07:00:00,13.4,27.4,55.5
BL0,2018-05-09 08:00:00,6.5,16.1,46.5
BL0,2018-05-09 09:00:00,6.0,14.4,32.7
BL0,2018-05-09 10:00:00,7.3,15.5,24.9
BL0,2018-05-09 11:00:00,9.3,16.8,26.8
BL0,2018-05-09 12:00:00,6.5,16.5,22.8
BL0,2018-05-09 13:00:00,7.6,16.4,18.4
BL0,2018-05-09 14:00:00,5.7,12.5,18.2
BL0,2018-05-09 15:00:00,5.7,12.4,18.9
BL0,2018-05-09 16:00:00,8.2,18.9,23.7
BL0,2018-05-09 17:00:00,9.0,18.4,30.8
BL0,2018-05-09 18:00:00,6.9,16.5,29.8
BL0,2018-05-09 19:00:00,4.3,15.0,34.4
BL0,2018-05-09 20:00:00,3.9,12.0,31.6
BL0,2018-05-09 21:00:00,6.6,15.9,30.2
BL0,2018-05-09 22:00:00,3.4,14.3,27.9
BL0,2018-05-09 23:00:00,2.5,9.8,22.2
BL0,2018-05-10 00:00:00,5.5,12.3,10.3
BL0,2018-05-10 01:00:00,5.5,14.0,8.0
BL0,2018-05-10 02:00:00,3.6,10.4,8.8
BL0,2018-05-10 03:00:00,4.2,8.3,10.5
BL0,2018-05-10 04:00:00,1.5,5.3,16.3
BL0,2018-05-10 05:00:00,1.8,4.8,23.1
BL0,2018-05-10 06:00:00,1.5,6.4,30.8
BL0,2018-05-10 07:00:00,4.5,15.9,40.9
BL0,2018-05-10 08:00:00,4.3,13.8,45.7
BL0,2018-05-10 09:00:00,11.0,15.1,44.6
BL0,2018-05-10 10:00:00,1.8,7.5,32.5
BL0,2018-05-10 11:00:00,3.9,13.5,46.3
BL0,2018-05-10 12:00:00,5.9,15.2,33.3
BL0,2018-05-10 13:00:00,7.0,17.5,46.3
BL0,2018-05-10 14:00:00,4.4,11.1,32.1
BL0,2018-05-10 15:00:00,3.3,9.3,29.1
BL0,2018-05-10 16:00:00,4.3,12.1,39.8
BL0,2018-05-10 17:00:00,0.5,9.5,63.7
BL0,2018-05-10 18:00:00,2.5,10.9,30.6
BL0,2018-05-10 20:00:00,2.8,11.9,46.9
BL0,2018-05-10 21:00:00,2.5,12.0,32.9
BL0,2018-05-10 22:00:00,5.6,14.5,35.0
BL0,2018-05-10 23:00:00,5.9,16.3,40.5
BL0,2018-05-11 00:00:00,8.7,17.3,40.7
BL0,2018-05-11 01:00:00,9.2,17.5,27.2
BL0,2018-05-11 02:00:00,10.0,20.5,30.2
BL0,2018-05-11 03:00:00,6.3,18.6,29.3
BL0,2018-05-11 04:00:00,5.4,16.1,29.8
BL0,2018-05-11 05:00:00,6.6,16.9,31.0
BL0,2018-05-11 06:00:00,4.9,14.5,34.6
BL0,2018-05-11 07:00:00,2.0,14.6,25.2
BL0,2018-05-11 08:00:00,2.7,17.7,29.6
BL0,2018-05-11 09:00:00,5.5,20.5,25.4
BL0,2018-05-11 10:00:00,8.3,21.7,21.8
BL0,2018-05-11 11:00:00,8.0,20.7,24.3
BL0,2018-05-11 12:00:00,4.6,19.1,25.2
BL0,2018-05-11 13:00:00,5.1,17.8,27.3
BL0,2018-05-11 14:00:00,7.9,17.3,26.6
BL0,2018-05-11 15:00:00,5.2,17.0,23.9
BL0,2018-05-11 16:00:00,6.0,16.8,26.8
BL0,2018-05-11 17:00:00,7.4,18.2,30.2
BL0,2018-05-11 18:00:00,8.6,18.5,34.8
BL0,2018-05-11 19:00:00,7.1,19.6,35.4
BL0,2018-05-11 20:00:00,8.2,18.3,40.5
BL0,2018-05-11 21:00:00,8.9,18.7,40.4
BL0,2018-05-11 22:00:00,11.3,16.9,32.9
BL0,2018-05-11 23:00:00,8.2,13.2,30.0
BL0,2018-05-12 00:00:00,9.4,13.5,27.0
BL0,2018-05-12 01:00:00,6.4,13.8,14.0
BL0,2018-05-12 02:00:00,6.2,14.4,14.9
BL0,2018-05-12 03:00:00,5.3,14.9,15.5
BL0,2018-05-12 04:00:00,6.8,24.3,12.6
BL0,2018-05-12 05:00:00,7.0,12.3,12.8
BL0,2018-05-12 06:00:00,7.8,16.6,17.0
BL0,2018-05-12 07:00:00,10.7,13.8,34.6
BL0,2018-05-12 08:00:00,9.6,16.0,23.3
BL0,2018-05-12 09:00:00,7.3,14.5,31.6
BL0,2018-05-12 10:00:00,5.5,10.7,23.0
BL0,2018-05-12 11:00:00,9.0,13.4,23.1
BL0,2018-05-12 12:00:00,7.4,14.4,27.3
BL0,2018-05-12 13:00:00,10.1,16.6,33.7
BL0,2018-05-12 14:00:00,9.6,13.9,36.5
BL0,2018-05-12 15:00:00,4.6,11.8,41.3
BL0,2018-05-12 16:00:00,5.5,11.4,49.9
BL0,2018-05-12 17:00:00,1.9,7.6,38.1
BL0,2018-05-12 18:00:00,2.1,4.5,57.6
BL0,2018-05-12 19:00:00,0.7,4.4,86.4
BL0,2018-05-12 20:00:00,7.8,9.6,46.5
BL0,2018-05-12 21:00:00,8.7,12.5,38.4
BL0,2018-05-12 22:00:00,9.1,13.6,31.7
BL0,2018-05-12 23:00:00,7.8,13.6,42.8
BL0,2018-05-13 00:00:00,10.4,10.5,51.8
BL0,2018-05-13 01:00:00,14.2,16.6,55.3
BL0,2018-05-13 02:00:00,1.9,7.5,22.2
BL0,2018-05-13 03:00:00,11.5,16.2,21.8
BL0,2018-05-13 04:00:00,9.1,14.1,27.2
BL0,2018-05-13 05:00:00,11.0,12.8,40.0
BL0,2018-05-13 06:00:00,10.0,15.9,42.6
BL0,2018-05-13 07:00:00,9.9,15.3,38.4
BL0,2018-05-13 08:00:00,8.5,15.2,53.0
BL0,2018-05-13 09:00:00,7.5,13.1,44.6
BL0,2018-05-13 10:00:00,8.9,21.7,27.0
BL0,2018-05-13 11:00:00,3.2,11.5,29.6
BL0,2018-05-13 12:00:00,6.8,9.1,32.3
BL0,2018-05-13 13:00:00,6.2,14.2,25.6
BL0,2018-05-13 14:00:00,4.0,13.7,30.4
BL0,2018-05-13 15:00:00,5.0,13.9,26.8
BL0,2018-05-13 16:00:00,4.8,11.4,23.9
BL0,2018-05-13 17:00:00,8.0,22.6,31.6
BL0,2018-05-13 18:00:00,11.7,17.4,36.5
BL0,2018-05-13 19:00:00,13.4,23.5,33.1
BL0,2018-05-13 20:00:00,16.6,21.7,44.9
BL0,2018-05-13 21:00:00,17.4,26.2,67.9
BL0,2018-05-13 22:00:00,14.8,21.6,71.1
BL0,2018-05-13 23:00:00,9.9,18.9,54.9
BL0,2018-05-14 00:00:00,10.6,17.1,42.6
BL0,2018-05-14 01:00:00,5.3,12.6,24.1
BL0,2018-05-14 02:00:00,4.8,11.7,23.0
BL0,2018-05-14 03:00:00,4.3,10.7,20.5
BL0,2018-05-14 04:00:00,2.6,7.3,27.5
BL0,2018-05-14 05:00:00,1.7,7.4,36.3
BL0,2018-05-14 06:00:00,4.2,10.7,48.0
BL0,2018-05-14 07:00:00,6.8,58.3,54.1
BL0,2018-05-14 08:00:00,2.9,20.1,49.0
BL0,2018-05-14 09:00:00,4.0,12.1,44.0
BL0,2018-05-14 10:00:00,2.7,12.8,38.4
BL0,2018-05-14 11:00:00,5.5,14.7,35.2
BL0,2018-05-14 12:00:00,6.4,14.4,32.9
BL0,2018-05-14 13:00:00,7.0,12.9,35.4
BL0,2018-05-14 14:00:00,7.0,16.2,36.5
BL0,2018-05-14 15:00:00,3.8,17.9,37.7
BL0,2018-05-14 16:00:00,5.0,13.8,42.1
BL0,2018-05-14 17:00:00,6.6,17.4,35.8
BL0,2018-05-14 18:00:00,4.2,14.9,37.5
BL0,2018-05-14 19:00:00,4.6,11.9,35.0
BL0,2018-05-14 20:00:00,6.4,10.7,34.4
BL0,2018-05-14 21:00:00,5.8,7.2,39.0
BL0,2018-05-14 22:00:00,0.0,6.3,32.5
BL0,2018-05-14 23:00:00,4.4,6.5,27.9
BL0,2018-05-15 00:00:00,0.6,5.3,17.2
BL0,2018-05-15 01:00:00,2.8,4.8,13.8
BL0,2018-05-15 02:00:00,2.1,4.6,10.7
BL0,2018-05-15 03:00:00,3.6,4.8,13.0
BL0,2018-05-15 04:00:00,0.0,3.2,23.1
BL0,2018-05-15 05:00:00,3.4,5.9,35.6
BL0,2018-05-15 06:00:00,2.9,9.3,50.5
BL0,2018-05-15 07:00:00,2.9,12.1,59.1
BL0,2018-05-15 08:00:00,6.1,16.7,62.5
BL0,2018-05-15 09:00:00,6.9,16.8,67.1
BL0,2018-05-15 10:00:00,9.2,22.4,59.9
BL0,2018-05-15 11:00:00,8.4,12.6,61.4
BL0,2018-05-15 12:00:00,8.9,20.8,60.4
BL0,2018-05-15 13:00:00,8.3,20.8,54.1
BL0,2018-05-15 14:00:00,10.6,22.1,39.6
BL0,2018-05-15 15:00:00,8.4,17.0,44.2
BL0,2018-05-15 16:00:00,8.3,19.3,46.9
BL0,2018-05-15 17:00:00,9.5,21.0,37.3
BL0,2018-05-15 18:00:00,11.5,21.4,39.6
BL0,2018-05-15 19:00:00,8.8,20.3,43.4
BL0,2018-05-15 20:00:00,4.3,15.2,42.5
BL0,2018-05-15 21:00:00,8.9,12.4,46.3
BL0,2018-05-15 22:00:00,10.5,17.3,41.5
BL0,2018-05-15 23:00:00,9.1,17.3,34.4
BL0,2018-05-16 00:00:00,12.1,20.2,27.9
BL0,2018-05-16 01:00:00,9.8,11.8,16.8
BL0,2018-05-16 02:00:00,2.6,6.7,16.8
BL0,2018-05-16 03:00:00,1.9,7.2,18.2
BL0,2018-05-16 04:00:00,0.0,6.0,26.0
BL0,2018-05-16 05:00:00,0.5,7.3,36.5
BL0,2018-05-16 06:00:00,4.0,10.8,41.5
BL0,2018-05-16 07:00:00,5.7,15.8,39.4
BL0,2018-05-16 08:00:00,9.9,21.6,39.8
BL0,2018-05-16 09:00:00,10.6,23.9,50.1
BL0,2018-05-16 10:00:00,10.9,26.6,49.3
BL0,2018-05-16 11:00:00,10.8,30.7,41.1
BL0,2018-05-16 12:00:00,12.9,34.1,37.1
BL0,2018-05-16 13:00:00,12.0,32.1,37.9
BL0,2018-05-16 14:00:00,11.9,30.3,42.5
BL0,2018-05-16 15:00:00,6.2,27.5,43.0
BL0,2018-05-16 16:00:00,9.3,23.6,35.4
BL0,2018-05-16 17:00:00,6.2,20.9,37.9
BL0,2018-05-16 18:00:00,8.6,22.9,34.4
BL0,2018-05-16 19:00:00,5.3,21.2,34.8
BL0,2018-05-16 20:00:00,4.6,19.1,31.0
BL0,2018-05-16 21:00:00,6.1,18.8,32.3
BL0,2018-05-16 22:00:00,6.6,21.9,26.4
BL0,2018-05-16 23:00:00,2.4,15.9,24.3
BL0,2018-05-17 00:00:00,5.0,19.2,17.8
BL0,2018-05-17 01:00:00,4.4,16.3,13.8
BL0,2018-05-17 02:00:00,3.5,14.9,14.0
BL0,2018-05-17 03:00:00,4.3,15.4,17.4
BL0,2018-05-17 04:00:00,0.0,13.6,23.7
BL0,2018-05-17 05:00:00,4.5,14.0,32.5
BL0,2018-05-17 06:00:00,1.9,18.1,38.4
BL0,2018-05-17 07:00:00,8.9,24.0,41.7
BL0,2018-05-17 08:00:00,7.3,25.3,42.6
BL0,2018-05-17 09:00:00,6.6,21.5,38.6
BL0,2018-05-17 10:00:00,5.2,18.5,33.1
BL0,2018-05-17 11:00:00,11.8,24.5,37.5
BL0,2018-05-17 12:00:00,7.6,23.8,31.0
BL0,2018-05-17 13:00:00,4.6,22.5,38.4
BL0,2018-05-17 14:00:00,6.4,22.1,32.7
BL0,2018-05-17 15:00:00,7.2,23.0,41.3
BL0,2018-05-17 16:00:00,6.3,19.6,39.6
BL0,2018-05-17 17:00:00,5.9,19.5,43.6
BL0,2018-05-17 18:00:00,7.5,20.9,45.9
BL0,2018-05-17 19:00:00,9.9,21.6,39.0
BL0,2018-05-17 20:00:00,8.0,23.8,39.0
BL0,2018-05-17 21:00:00,6.5,17.8,34.0
BL0,2018-05-17 22:00:00,0.7,11.9,32.9
BL0,2018-05-17 23:00:00,4.4,9.7,21.6
BL0,2018-05-18 00:00:00,3.2,11.9,18.6
BL0,2018-05-18 01:00:00,2.4,6.3,14.3
BL0,2018-05-18 02:00:00,2.0,12.3,18.4
BL0,2018-05-18 03:00:00,5.5,12.8,27.0
BL0,2018-05-18 04:00:00,2.7,14.1,35.4
BL0,2018-05-18 05:00:00,6.1,15.9,39.0
BL0,2018-05-18 06:00:00,4.8,16.8,40.4
BL0,2018-05-18 07:00:00,4.6,18.3,37.3
BL0,2018-05-18 08:00:00,9.0,21.1,42.3
BL0,2018-05-18 09:00:00,8.7,20.8,38.6
BL0,2018-05-18 10:00:00,6.4,18.1,34.0
BL0,2018-05-18 11:00:00,6.6,21.0,33.1
BL0,2018-05-18 12:00:00,7.9,21.8,32.3
BL0,2018-05-18 13:00:00,7.4,15.1,31.0
BL0,2018-05-18 14:00:00,7.4,19.8,32.1
BL0,2018-05-18 15:00:00,6.0,15.6,34.0
BL0,2018-05-18 16:00:00,7.1,15.0,33.9
BL0,2018-05-18 17:00:00,4.2,11.8,36.7
BL0,2018-05-18 18:00:00,8.9,20.5,37.7
BL0,2018-05-18 19:00:00,9.1,19.4,41.9
BL0,2018-05-18 20:00:00,12.9,27.1,75.4
BL0,2018-05-18 21:00:00,12.4,26.8,69.4
BL0,2018-05-18 22:00:00,13.8,28.3,64.5
BL0,2018-05-18 23:00:00,12.4,28.8,66.2
BL0,2018-05-19 00:00:00,10.8,23.5,67.5
BL0,2018-05-19 01:00:00,13.6,38.0,71.3
BL0,2018-05-19 02:00:00,14.5,28.1,70.8
BL0,2018-05-19 03:00:00,11.1,26.0,68.7
BL0,2018-05-19 04:00:00,14.6,28.0,66.4
BL0,2018-05-19 05:00:00,16.0,33.0,62.9
BL0,2018-05-19 06:00:00,19.5,35.4,62.0
BL0,2018-05-19 07:00:00,18.8,34.0,54.1
BL0,2018-05-19 08:00:00,12.6,26.1,38.1
BL0,2018-05-19 09:00:00,14.7,27.9,34.0
BL0,2018-05-19 10:00:00,7.3,22.5,29.3
BL0,2018-05-19 11:00:00,9.4,21.7,28.1
BL0,2018-05-19 12:00:00,9.4,19.3,25.8
BL0,2018-05-19 13:00:00,4.5,18.0,21.8
BL0,2018-05-19 14:00:00,8.9,23.1,24.9
BL0,2018-05-19 15:00:00,2.3,8.7,24.7
BL0,2018-05-19 16:00:00,7.4,17.6,31.0
BL0,2018-05-19 17:00:00,10.9,21.1,44.8
BL0,2018-05-19 18:00:00,8.0,19.6,37.5
BL0,2018-05-19 19:00:00,11.4,18.1,38.3
BL0,2018-05-19 20:00:00,12.3,20.5,40.0
BL0,2018-05-19 21:00:00,13.4,20.5,53.4
BL0,2018-05-19 22:00:00,12.1,20.7,42.3
BL0,2018-05-19 23:00:00,12.8,18.8,37.5
BL0,2018-05-20 00:00:00,15.6,26.8,43.4
BL0,2018-05-20 01:00:00,19.3,29.3,54.1
BL0,2018-05-20 02:00:00,16.9,28.1,42.3
BL0,2018-05-20 03:00:00,12.7,21.4,34.8
BL0,2018-05-20 04:00:00,13.7,22.7,41.7
BL0,2018-05-20 05:00:00,19.8,29.7,46.5
BL0,2018-05-20 06:00:00,22.3,31.3,43.8
BL0,2018-05-20 07:00:00,25.4,31.9,55.3
BL0,2018-05-20 08:00:00,23.0,30.8,44.9
BL0,2018-05-20 09:00:00,22.6,31.6,50.3
BL0,2018-05-20 10:00:00,17.5,25.5,42.5
BL0,2018-05-20 11:00:00,11.2,21.8,34.6
BL0,2018-05-20 12:00:00,7.6,15.2,27.5
BL0,2018-05-20 13:00:00,10.0,17.6,23.7
BL0,2018-05-20 14:00:00,5.7,13.8,19.3
BL0,2018-05-20 15:00:00,10.3,14.9,21.2
BL0,2018-05-20 16:00:00,7.9,15.4,26.2
BL0,2018-05-20 17:00:00,7.7,19.1,31.6
BL0,2018-05-20 18:00:00,9.2,17.1,39.8
BL0,2018-05-20 19:00:00,12.9,24.9,45.3
BL0,2018-05-20 20:00:00,18.5,26.4,57.6
BL0,2018-05-20 21:00:00,23.1,31.1,63.1
BL0,2018-05-20 22:00:00,31.8,39.8,56.4
BL0,2018-05-20 23:00:00,41.8,47.6,71.0
BL0,2018-05-21 00:00:00,41.1,49.7,47.0
BL0,2018-05-21 01:00:00,37.1,42.6,25.6
BL0,2018-05-21 02:00:00,31.6,42.1,21.8
BL0,2018-05-21 03:00:00,28.6,34.2,21.0
BL0,2018-05-21 04:00:00,26.4,31.5,29.3
BL0,2018-05-21 05:00:00,24.2,30.5,40.2
BL0,2018-05-21 06:00:00,25.2,34.4,54.7
BL0,2018-05-21 07:00:00,23.7,37.1,62.2
BL0,2018-05-21 08:00:00,24.4,37.1,59.3
BL0,2018-05-21 09:00:00,23.4,39.3,67.3
BL0,2018-05-21 10:00:00,19.0,35.0,50.9
BL0,2018-05-21 11:00:00,14.5,26.8,47.4
BL0,2018-05-21 12:00:00,17.8,31.4,44.9
BL0,2018-05-21 13:00:00,21.2,30.6,48.4
BL0,2018-05-21 14:00:00,22.8,37.1,48.8
BL0,2018-05-21 15:00:00,23.8,33.0,53.9
BL0,2018-05-21 16:00:00,12.7,28.6,44.0
BL0,2018-05-21 17:00:00,10.1,20.7,52.4
BL0,2018-05-21 18:00:00,10.3,21.8,55.5
BL0,2018-05-21 19:00:00,16.9,28.3,78.8
BL0,2018-05-21 20:00:00,15.6,28.5,64.8
BL0,2018-05-21 21:00:00,17.9,25.8,85.3
BL0,2018-05-21 22:00:00,19.1,29.0,69.4
BL0,2018-05-21 23:00:00,15.3,24.1,45.1
BL0,2018-05-22 00:00:00,17.7,23.4,29.1
